"cname","year","ccode","ccodealp","id","source_link","cab"
"Germany", "2020", "276", "DEU", "22", "https://www.cpds-data.org/", "2"
"Ghana", "2015", "288", "GHA", "23", "https://www.cpds-data.org/", "NA"
"Ghana", "2016", "288", "GHA", "23", "https://www.cpds-data.org/", "1"
"Ghana", "2017", "288", "GHA", "23", "https://www.cpds-data.org/", "NA"
"Ghana", "2018", "288", "GHA", "23", "https://www.cpds-data.org/", "NA"
"Ghana", "2019", "288", "GHA", "23", "https://www.cpds-data.org/", "NA"
"Ghana", "2020", "288", "GHA", "23", "https://www.cpds-data.org/", "3"
"Greece", "2015", "300", "GRC", "24", "https://www.cpds-data.org/", "2"
"Greece", "2016", "300", "GRC", "24", "https://www.cpds-data.org/", "2"
"Greece", "2017", "300", "GRC", "24", "https://www.cpds-data.org/", "2"
"Greece", "2018", "300", "GRC", "24", "https://www.cpds-data.org/", "2"
"Greece", "2019", "300", "GRC", "24", "https://www.cpds-data.org/", "1"
"Greece", "2020", "300", "GRC", "24", "https://www.cpds-data.org/", "1"
"Hungary", "2015", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Hungary", "2016", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Hungary", "2017", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Hungary", "2018", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Hungary", "2019", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Hungary", "2020", "348", "HUN", "25", "https://www.cpds-data.org/", "1"
"Iceland", "2015", "352" , "ISL", "26", "https://www.cpds-data.org/", "2"
"Iceland", "2016", "352" , "ISL", "26", "https://www.cpds-data.org/", "NA"
